model,attribution_method,prompt_id,token_count,output_token_count,attribution_time,tokens_per_second,prompt_text,success,device,gpu_info
BART,saliency,prompt_5,18,0,0.9842658042907715,18.287742926282185,Answer this yes/no question: is elder scrolls online the same as skyrim,True,CUDA,Tesla T4
BART,saliency,prompt_6,20,0,0.7773256301879883,25.729242962390426,Answer this yes/no question: can you use oyster card at epsom station,True,CUDA,Tesla T4
BART,saliency,prompt_7,22,0,1.2366225719451904,17.790391748546448,Answer this yes/no question: will there be a season 4 of da vinci's demons,True,CUDA,Tesla T4
BART,saliency,prompt_8,19,0,1.1797666549682617,16.104879655639312,Answer this yes/no question: is the federal court the same as the supreme court,True,CUDA,Tesla T4
BART,saliency,prompt_9,22,0,1.0335571765899658,21.285711616443905,Answer this yes/no question: did abraham lincoln write the letter in saving private ryan,True,CUDA,Tesla T4
BART,saliency,prompt_10,21,0,1.1701903343200684,17.94579854584247,Answer this yes/no question: is batman and robin a sequel to batman forever,True,CUDA,Tesla T4
BART,saliency,prompt_11,20,0,1.0097637176513672,19.806613815079892,Answer this yes/no question: is a wolverine the same as a badger,True,CUDA,Tesla T4
BART,saliency,prompt_12,17,0,1.1061058044433594,15.369234960804803,Answer this yes/no question: will there be a green lantern 2 movie,True,CUDA,Tesla T4
BART,saliency,prompt_13,19,0,0.7607431411743164,24.975578446452726,Answer this yes/no question: does the icc has jurisdiction in the united states,True,CUDA,Tesla T4
BART,saliency,prompt_14,24,0,1.0517857074737549,22.818336310772573,Answer this yes/no question: calcium carbide cac2 is the raw material for the production of acetylene,True,CUDA,Tesla T4
BART,saliency,prompt_15,19,0,1.1632866859436035,16.333033146156996,Answer this yes/no question: is there a now you see me 3 coming out,True,CUDA,Tesla T4
BART,saliency,prompt_16,20,0,1.1474976539611816,17.429229533463232,Answer this yes/no question: does a penalty shoot out goal count towards the golden boot,True,CUDA,Tesla T4
BART,saliency,prompt_17,20,0,1.1378505229949951,17.5770011928781,Answer this yes/no question: will there be a new season of cutthroat kitchen,True,CUDA,Tesla T4
BART,saliency,prompt_18,19,0,0.9966623783111572,19.06362717552906,Answer this yes/no question: is jack sikma in the hall of fame,True,CUDA,Tesla T4
BART,saliency,prompt_19,18,0,0.9731411933898926,18.49680202859138,Answer this yes/no question: can elves and humans mate lord of the rings,True,CUDA,Tesla T4
BART,saliency,prompt_20,19,0,1.1443023681640625,16.60400304028376,Answer this yes/no question: the boy in the plastic bubble based on true story,True,CUDA,Tesla T4
BART,lime,prompt_1,20,0,8.986452341079712,2.2255723661465523,Answer this yes/no question: do iran and afghanistan speak the same language,True,CUDA,Tesla T4
BART,lime,prompt_2,22,0,11.490511178970337,1.914623262389221,Answer this yes/no question: do good samaritan laws protect those who help at an accident,True,CUDA,Tesla T4
BART,lime,prompt_3,17,0,10.488505363464355,1.6208219770967345,Answer this yes/no question: is windows movie maker part of windows essentials,True,CUDA,Tesla T4
BART,lime,prompt_4,19,0,11.10904312133789,1.7103183228720586,Answer this yes/no question: is confectionary sugar the same as powdered sugar,True,CUDA,Tesla T4
BART,lime,prompt_5,18,0,9.578667640686035,1.8791757554614161,Answer this yes/no question: is elder scrolls online the same as skyrim,True,CUDA,Tesla T4
BART,lime,prompt_6,20,0,8.537107229232788,2.3427139267404233,Answer this yes/no question: can you use oyster card at epsom station,True,CUDA,Tesla T4
BART,lime,prompt_7,22,0,10.996199131011963,2.000691305958132,Answer this yes/no question: will there be a season 4 of da vinci's demons,True,CUDA,Tesla T4
BART,lime,prompt_8,19,0,10.783203840255737,1.7619995208723969,Answer this yes/no question: is the federal court the same as the supreme court,True,CUDA,Tesla T4
BART,lime,prompt_9,22,0,11.276248693466187,1.9510034407761414,Answer this yes/no question: did abraham lincoln write the letter in saving private ryan,True,CUDA,Tesla T4
BART,lime,prompt_10,21,0,10.74852442741394,1.953756549730662,Answer this yes/no question: is batman and robin a sequel to batman forever,True,CUDA,Tesla T4
BART,lime,prompt_11,20,0,9.636855125427246,2.075365847020898,Answer this yes/no question: is a wolverine the same as a badger,True,CUDA,Tesla T4
BART,lime,prompt_12,17,0,10.523335218429565,1.6154574236338894,Answer this yes/no question: will there be a green lantern 2 movie,True,CUDA,Tesla T4
BART,lime,prompt_13,19,0,7.884671449661255,2.4097389626572565,Answer this yes/no question: does the icc has jurisdiction in the united states,True,CUDA,Tesla T4
BART,lime,prompt_14,24,0,10.59899640083313,2.2643653316188965,Answer this yes/no question: calcium carbide cac2 is the raw material for the production of acetylene,True,CUDA,Tesla T4
BART,lime,prompt_15,19,0,11.093838453292847,1.7126624008447198,Answer this yes/no question: is there a now you see me 3 coming out,True,CUDA,Tesla T4
BART,lime,prompt_16,20,0,10.301605939865112,1.9414448695425324,Answer this yes/no question: does a penalty shoot out goal count towards the golden boot,True,CUDA,Tesla T4
BART,lime,prompt_17,20,0,10.976565837860107,1.8220635028686731,Answer this yes/no question: will there be a new season of cutthroat kitchen,True,CUDA,Tesla T4
BART,lime,prompt_18,19,0,10.392237424850464,1.8282877135357014,Answer this yes/no question: is jack sikma in the hall of fame,True,CUDA,Tesla T4
BART,lime,prompt_19,18,0,9.605430841445923,1.8739398884985805,Answer this yes/no question: can elves and humans mate lord of the rings,True,CUDA,Tesla T4
BART,lime,prompt_20,19,0,11.048048734664917,1.7197606976863378,Answer this yes/no question: the boy in the plastic bubble based on true story,True,CUDA,Tesla T4
BART,integrated_gradients,prompt_1,20,0,1.7884786128997803,11.182688937818865,Answer this yes/no question: do iran and afghanistan speak the same language,True,CUDA,Tesla T4
BART,integrated_gradients,prompt_2,22,0,2.29909610748291,9.568977968513886,Answer this yes/no question: do good samaritan laws protect those who help at an accident,True,CUDA,Tesla T4
BART,integrated_gradients,prompt_3,17,0,1.8661742210388184,9.109546047923025,Answer this yes/no question: is windows movie maker part of windows essentials,True,CUDA,Tesla T4
BART,integrated_gradients,prompt_4,19,0,2.11161208152771,8.997864790702407,Answer this yes/no question: is confectionary sugar the same as powdered sugar,True,CUDA,Tesla T4
BART,integrated_gradients,prompt_5,18,0,1.8027970790863037,9.984484781350314,Answer this yes/no question: is elder scrolls online the same as skyrim,True,CUDA,Tesla T4
BART,integrated_gradients,prompt_6,20,0,1.7065722942352295,11.719398039895315,Answer this yes/no question: can you use oyster card at epsom station,True,CUDA,Tesla T4
BART,integrated_gradients,prompt_7,22,0,2.296151638031006,9.581248744906683,Answer this yes/no question: will there be a season 4 of da vinci's demons,True,CUDA,Tesla T4
BART,integrated_gradients,prompt_8,19,0,2.132753849029541,8.908669891110733,Answer this yes/no question: is the federal court the same as the supreme court,True,CUDA,Tesla T4
BART,integrated_gradients,prompt_9,22,0,2.285405158996582,9.626301889359173,Answer this yes/no question: did abraham lincoln write the letter in saving private ryan,True,CUDA,Tesla T4
BART,integrated_gradients,prompt_10,21,0,2.2430882453918457,9.362092660929399,Answer this yes/no question: is batman and robin a sequel to batman forever,True,CUDA,Tesla T4
BART,integrated_gradients,prompt_11,20,0,1.92384934425354,10.395824423434812,Answer this yes/no question: is a wolverine the same as a badger,True,CUDA,Tesla T4
BART,integrated_gradients,prompt_12,17,0,1.997232437133789,8.511778440969321,Answer this yes/no question: will there be a green lantern 2 movie,True,CUDA,Tesla T4
BART,integrated_gradients,prompt_13,19,0,1.5003061294555664,12.66408210096079,Answer this yes/no question: does the icc has jurisdiction in the united states,True,CUDA,Tesla T4
BART,integrated_gradients,prompt_14,24,0,2.2823662757873535,10.515402481453448,Answer this yes/no question: calcium carbide cac2 is the raw material for the production of acetylene,True,CUDA,Tesla T4
BART,integrated_gradients,prompt_15,19,0,2.1397690773010254,8.879462836225974,Answer this yes/no question: is there a now you see me 3 coming out,True,CUDA,Tesla T4
BART,integrated_gradients,prompt_16,20,0,2.0555412769317627,9.729797316380495,Answer this yes/no question: does a penalty shoot out goal count towards the golden boot,True,CUDA,Tesla T4
BART,integrated_gradients,prompt_17,20,0,2.1920688152313232,9.12380116036159,Answer this yes/no question: will there be a new season of cutthroat kitchen,True,CUDA,Tesla T4
BART,integrated_gradients,prompt_18,19,0,2.001248836517334,9.494071728263778,Answer this yes/no question: is jack sikma in the hall of fame,True,CUDA,Tesla T4
BART,integrated_gradients,prompt_19,18,0,1.8243005275726318,9.866795370579839,Answer this yes/no question: can elves and humans mate lord of the rings,True,CUDA,Tesla T4
BART,integrated_gradients,prompt_20,19,0,2.130690574645996,8.917296685914499,Answer this yes/no question: the boy in the plastic bubble based on true story,True,CUDA,Tesla T4
BART,layer_gradient_x_activation,prompt_1,20,0,1.0184426307678223,19.63782681104152,Answer this yes/no question: do iran and afghanistan speak the same language,True,CUDA,Tesla T4
BART,layer_gradient_x_activation,prompt_2,22,0,1.3232033252716064,16.626318555754978,Answer this yes/no question: do good samaritan laws protect those who help at an accident,True,CUDA,Tesla T4
BART,layer_gradient_x_activation,prompt_3,17,0,1.1543686389923096,14.726664798205121,Answer this yes/no question: is windows movie maker part of windows essentials,True,CUDA,Tesla T4
BART,layer_gradient_x_activation,prompt_4,19,0,1.1847906112670898,16.036588929144365,Answer this yes/no question: is confectionary sugar the same as powdered sugar,True,CUDA,Tesla T4
BART,layer_gradient_x_activation,prompt_5,18,0,1.102677822113037,16.323897732437384,Answer this yes/no question: is elder scrolls online the same as skyrim,True,CUDA,Tesla T4
BART,layer_gradient_x_activation,prompt_6,20,0,1.0427005290985107,19.180962742285583,Answer this yes/no question: can you use oyster card at epsom station,True,CUDA,Tesla T4
BART,layer_gradient_x_activation,prompt_7,22,0,1.3581199645996094,16.198863556567975,Answer this yes/no question: will there be a season 4 of da vinci's demons,True,CUDA,Tesla T4
BART,layer_gradient_x_activation,prompt_8,19,0,1.2736659049987793,14.917569768830555,Answer this yes/no question: is the federal court the same as the supreme court,True,CUDA,Tesla T4
BART,layer_gradient_x_activation,prompt_9,22,0,1.4348340034484863,15.332784104032315,Answer this yes/no question: did abraham lincoln write the letter in saving private ryan,True,CUDA,Tesla T4
BART,layer_gradient_x_activation,prompt_10,21,0,1.2554008960723877,16.727724239882267,Answer this yes/no question: is batman and robin a sequel to batman forever,True,CUDA,Tesla T4
BART,layer_gradient_x_activation,prompt_11,20,0,1.1485016345977783,17.413993500326438,Answer this yes/no question: is a wolverine the same as a badger,True,CUDA,Tesla T4
BART,layer_gradient_x_activation,prompt_12,17,0,1.190312385559082,14.281965143137791,Answer this yes/no question: will there be a green lantern 2 movie,True,CUDA,Tesla T4
BART,layer_gradient_x_activation,prompt_13,19,0,1.1529262065887451,16.47980581187136,Answer this yes/no question: does the icc has jurisdiction in the united states,True,CUDA,Tesla T4
BART,layer_gradient_x_activation,prompt_14,24,0,1.4045326709747314,17.08753416418875,Answer this yes/no question: calcium carbide cac2 is the raw material for the production of acetylene,True,CUDA,Tesla T4
BART,layer_gradient_x_activation,prompt_15,19,0,1.2514872550964355,15.18193647008888,Answer this yes/no question: is there a now you see me 3 coming out,True,CUDA,Tesla T4
BART,layer_gradient_x_activation,prompt_16,20,0,1.2129836082458496,16.488268979102614,Answer this yes/no question: does a penalty shoot out goal count towards the golden boot,True,CUDA,Tesla T4
BART,layer_gradient_x_activation,prompt_17,20,0,1.249171257019043,16.010614947807042,Answer this yes/no question: will there be a new season of cutthroat kitchen,True,CUDA,Tesla T4
BART,layer_gradient_x_activation,prompt_18,19,0,1.2529675960540771,15.16399949993597,Answer this yes/no question: is jack sikma in the hall of fame,True,CUDA,Tesla T4
BART,layer_gradient_x_activation,prompt_19,18,0,1.048081398010254,17.174238598426015,Answer this yes/no question: can elves and humans mate lord of the rings,True,CUDA,Tesla T4
BART,layer_gradient_x_activation,prompt_20,19,0,1.2218084335327148,15.550719309625112,Answer this yes/no question: the boy in the plastic bubble based on true story,True,CUDA,Tesla T4
BART,attention,prompt_1,20,0,0.3124098777770996,64.0184623556293,Answer this yes/no question: do iran and afghanistan speak the same language,True,CUDA,Tesla T4
BART,attention,prompt_2,22,0,0.3471853733062744,63.36672478593271,Answer this yes/no question: do good samaritan laws protect those who help at an accident,True,CUDA,Tesla T4
BART,attention,prompt_3,17,0,0.3132181167602539,54.27527684489683,Answer this yes/no question: is windows movie maker part of windows essentials,True,CUDA,Tesla T4
BART,attention,prompt_4,19,0,0.22139310836791992,85.82019621146038,Answer this yes/no question: is confectionary sugar the same as powdered sugar,True,CUDA,Tesla T4
BART,attention,prompt_5,18,0,0.2179548740386963,82.58590260662963,Answer this yes/no question: is elder scrolls online the same as skyrim,True,CUDA,Tesla T4
BART,attention,prompt_6,20,0,0.30572509765625,65.41824715512078,Answer this yes/no question: can you use oyster card at epsom station,True,CUDA,Tesla T4
BART,attention,prompt_7,22,0,0.33842015266418457,65.0079489262292,Answer this yes/no question: will there be a season 4 of da vinci's demons,True,CUDA,Tesla T4
BART,attention,prompt_8,19,0,0.3164327144622803,60.044360559517486,Answer this yes/no question: is the federal court the same as the supreme court,True,CUDA,Tesla T4
BART,attention,prompt_9,22,0,0.3393590450286865,64.82809379116536,Answer this yes/no question: did abraham lincoln write the letter in saving private ryan,True,CUDA,Tesla T4
BART,attention,prompt_10,21,0,0.3322107791900635,63.21287963984317,Answer this yes/no question: is batman and robin a sequel to batman forever,True,CUDA,Tesla T4
BART,attention,prompt_11,20,0,0.21231985092163086,94.1975039695284,Answer this yes/no question: is a wolverine the same as a badger,True,CUDA,Tesla T4
BART,attention,prompt_12,17,0,0.3079402446746826,55.205515660868926,Answer this yes/no question: will there be a green lantern 2 movie,True,CUDA,Tesla T4
BART,attention,prompt_13,19,0,0.29061293601989746,65.37905800139303,Answer this yes/no question: does the icc has jurisdiction in the united states,True,CUDA,Tesla T4
BART,attention,prompt_14,24,0,0.34230661392211914,70.11258042901979,Answer this yes/no question: calcium carbide cac2 is the raw material for the production of acetylene,True,CUDA,Tesla T4
BART,attention,prompt_15,19,0,0.32625818252563477,58.23608730029976,Answer this yes/no question: is there a now you see me 3 coming out,True,CUDA,Tesla T4
BART,attention,prompt_16,20,0,0.33306002616882324,60.049235658986866,Answer this yes/no question: does a penalty shoot out goal count towards the golden boot,True,CUDA,Tesla T4
BART,attention,prompt_17,20,0,0.33338356018066406,59.99096052955277,Answer this yes/no question: will there be a new season of cutthroat kitchen,True,CUDA,Tesla T4
BART,attention,prompt_18,19,0,0.32300806045532227,58.82206150898218,Answer this yes/no question: is jack sikma in the hall of fame,True,CUDA,Tesla T4
BART,attention,prompt_19,18,0,0.3097565174102783,58.11015745686042,Answer this yes/no question: can elves and humans mate lord of the rings,True,CUDA,Tesla T4
BART,attention,prompt_20,19,0,0.32277703285217285,58.86416338891659,Answer this yes/no question: the boy in the plastic bubble based on true story,True,CUDA,Tesla T4
GPT-2,input_x_gradient,prompt_1,18,0,1.3889191150665283,12.959717959629213,Answer this yes/no question: do iran and afghanistan speak the same language,True,CUDA,Tesla T4
GPT-2,input_x_gradient,prompt_2,20,0,1.3884503841400146,14.404547853100059,Answer this yes/no question: do good samaritan laws protect those who help at an accident,True,CUDA,Tesla T4
GPT-2,input_x_gradient,prompt_3,15,0,1.138803243637085,13.171722230166228,Answer this yes/no question: is windows movie maker part of windows essentials,True,CUDA,Tesla T4
GPT-2,input_x_gradient,prompt_4,17,0,1.292642593383789,13.151353736146504,Answer this yes/no question: is confectionary sugar the same as powdered sugar,True,CUDA,Tesla T4
GPT-2,input_x_gradient,prompt_5,16,0,1.122657299041748,14.251900391737452,Answer this yes/no question: is elder scrolls online the same as skyrim,True,CUDA,Tesla T4
GPT-2,input_x_gradient,prompt_6,18,0,1.2443816661834717,14.465015428269801,Answer this yes/no question: can you use oyster card at epsom station,True,CUDA,Tesla T4
GPT-2,input_x_gradient,prompt_7,20,0,1.3836617469787598,14.454399743051518,Answer this yes/no question: will there be a season 4 of da vinci's demons,True,CUDA,Tesla T4
GPT-2,input_x_gradient,prompt_8,17,0,1.2430899143218994,13.67559965223709,Answer this yes/no question: is the federal court the same as the supreme court,True,CUDA,Tesla T4
GPT-2,input_x_gradient,prompt_9,20,0,1.3002386093139648,15.381792123949042,Answer this yes/no question: did abraham lincoln write the letter in saving private ryan,True,CUDA,Tesla T4
GPT-2,input_x_gradient,prompt_10,19,0,1.1827716827392578,16.063962535860398,Answer this yes/no question: is batman and robin a sequel to batman forever,True,CUDA,Tesla T4
GPT-2,input_x_gradient,prompt_11,18,0,1.2826240062713623,14.033730783136281,Answer this yes/no question: is a wolverine the same as a badger,True,CUDA,Tesla T4
GPT-2,input_x_gradient,prompt_12,15,0,1.199223279953003,12.508096074142125,Answer this yes/no question: will there be a green lantern 2 movie,True,CUDA,Tesla T4
GPT-2,input_x_gradient,prompt_13,17,0,1.3024721145629883,13.052102851126238,Answer this yes/no question: does the icc has jurisdiction in the united states,True,CUDA,Tesla T4
GPT-2,input_x_gradient,prompt_14,22,0,1.4111404418945312,15.590227128962322,Answer this yes/no question: calcium carbide cac2 is the raw material for the production of acetylene,True,CUDA,Tesla T4
GPT-2,input_x_gradient,prompt_15,17,0,1.281362533569336,13.267127416817132,Answer this yes/no question: is there a now you see me 3 coming out,True,CUDA,Tesla T4
GPT-2,input_x_gradient,prompt_16,18,0,1.410590648651123,12.760612029586682,Answer this yes/no question: does a penalty shoot out goal count towards the golden boot,True,CUDA,Tesla T4
GPT-2,input_x_gradient,prompt_17,18,0,1.2805852890014648,14.056072761881783,Answer this yes/no question: will there be a new season of cutthroat kitchen,True,CUDA,Tesla T4
GPT-2,input_x_gradient,prompt_18,17,0,1.2913143634796143,13.164881055137721,Answer this yes/no question: is jack sikma in the hall of fame,True,CUDA,Tesla T4
GPT-2,input_x_gradient,prompt_19,16,0,1.2299213409423828,13.008962010318951,Answer this yes/no question: can elves and humans mate lord of the rings,True,CUDA,Tesla T4
GPT-2,input_x_gradient,prompt_20,17,0,1.2045469284057617,14.113190278522223,Answer this yes/no question: the boy in the plastic bubble based on true story,True,CUDA,Tesla T4
GPT-2,saliency,prompt_1,18,0,1.0667271614074707,16.874043008570514,Answer this yes/no question: do iran and afghanistan speak the same language,True,CUDA,Tesla T4
GPT-2,saliency,prompt_2,20,0,1.1343731880187988,17.630882156982505,Answer this yes/no question: do good samaritan laws protect those who help at an accident,True,CUDA,Tesla T4
GPT-2,saliency,prompt_3,15,0,1.0778040885925293,13.917186025512327,Answer this yes/no question: is windows movie maker part of windows essentials,True,CUDA,Tesla T4
GPT-2,saliency,prompt_4,17,0,1.0675156116485596,15.924825655473999,Answer this yes/no question: is confectionary sugar the same as powdered sugar,True,CUDA,Tesla T4
GPT-2,saliency,prompt_5,16,0,1.0632655620574951,15.047981022764297,Answer this yes/no question: is elder scrolls online the same as skyrim,True,CUDA,Tesla T4
GPT-2,saliency,prompt_6,18,0,1.0833547115325928,16.615056738467388,Answer this yes/no question: can you use oyster card at epsom station,True,CUDA,Tesla T4
GPT-2,saliency,prompt_7,20,0,1.1245856285095215,17.78432828321589,Answer this yes/no question: will there be a season 4 of da vinci's demons,True,CUDA,Tesla T4
GPT-2,saliency,prompt_8,17,0,1.0617237091064453,16.01169857486495,Answer this yes/no question: is the federal court the same as the supreme court,True,CUDA,Tesla T4
GPT-2,saliency,prompt_9,20,0,1.1145546436309814,17.944387127439768,Answer this yes/no question: did abraham lincoln write the letter in saving private ryan,True,CUDA,Tesla T4
GPT-2,saliency,prompt_10,19,0,1.07063889503479,17.746412995188823,Answer this yes/no question: is batman and robin a sequel to batman forever,True,CUDA,Tesla T4
GPT-2,saliency,prompt_11,18,0,1.0519907474517822,17.110416649196836,Answer this yes/no question: is a wolverine the same as a badger,True,CUDA,Tesla T4
GPT-2,saliency,prompt_12,15,0,1.071403980255127,14.000321332041478,Answer this yes/no question: will there be a green lantern 2 movie,True,CUDA,Tesla T4
GPT-2,saliency,prompt_13,17,0,1.03684401512146,16.395908885107037,Answer this yes/no question: does the icc has jurisdiction in the united states,True,CUDA,Tesla T4
GPT-2,saliency,prompt_14,22,0,1.1454577445983887,19.206295565021883,Answer this yes/no question: calcium carbide cac2 is the raw material for the production of acetylene,True,CUDA,Tesla T4
GPT-2,saliency,prompt_15,17,0,1.121025562286377,15.164685420132448,Answer this yes/no question: is there a now you see me 3 coming out,True,CUDA,Tesla T4
GPT-2,saliency,prompt_16,18,0,1.1160149574279785,16.128816088167547,Answer this yes/no question: does a penalty shoot out goal count towards the golden boot,True,CUDA,Tesla T4
GPT-2,saliency,prompt_17,18,0,1.1585960388183594,15.536044830912784,Answer this yes/no question: will there be a new season of cutthroat kitchen,True,CUDA,Tesla T4
GPT-2,saliency,prompt_18,17,0,1.0784962177276611,15.76268856632448,Answer this yes/no question: is jack sikma in the hall of fame,True,CUDA,Tesla T4
GPT-2,saliency,prompt_19,16,0,1.0492355823516846,15.249196909752811,Answer this yes/no question: can elves and humans mate lord of the rings,True,CUDA,Tesla T4
GPT-2,saliency,prompt_20,17,0,1.113041877746582,15.27345946265516,Answer this yes/no question: the boy in the plastic bubble based on true story,True,CUDA,Tesla T4
GPT-2,lime,prompt_1,18,0,13.13208532333374,1.3706886268867526,Answer this yes/no question: do iran and afghanistan speak the same language,True,CUDA,Tesla T4
GPT-2,lime,prompt_2,20,0,13.584237813949585,1.4722946015758132,Answer this yes/no question: do good samaritan laws protect those who help at an accident,True,CUDA,Tesla T4
GPT-2,lime,prompt_3,15,0,13.308796405792236,1.1270741202015624,Answer this yes/no question: is windows movie maker part of windows essentials,True,CUDA,Tesla T4
GPT-2,lime,prompt_4,17,0,13.406989097595215,1.2679953624374363,Answer this yes/no question: is confectionary sugar the same as powdered sugar,True,CUDA,Tesla T4
GPT-2,lime,prompt_5,16,0,13.291579008102417,1.203769694349073,Answer this yes/no question: is elder scrolls online the same as skyrim,True,CUDA,Tesla T4
GPT-2,lime,prompt_6,18,0,13.389147520065308,1.344372371207708,Answer this yes/no question: can you use oyster card at epsom station,True,CUDA,Tesla T4
GPT-2,lime,prompt_7,20,0,13.362799644470215,1.4966923498158102,Answer this yes/no question: will there be a season 4 of da vinci's demons,True,CUDA,Tesla T4
GPT-2,lime,prompt_8,17,0,13.056447505950928,1.3020387048047841,Answer this yes/no question: is the federal court the same as the supreme court,True,CUDA,Tesla T4
GPT-2,lime,prompt_9,20,0,13.530339241027832,1.4781595378890662,Answer this yes/no question: did abraham lincoln write the letter in saving private ryan,True,CUDA,Tesla T4
GPT-2,lime,prompt_10,19,0,13.721246480941772,1.3847138469810445,Answer this yes/no question: is batman and robin a sequel to batman forever,True,CUDA,Tesla T4
GPT-2,lime,prompt_11,18,0,13.180490732192993,1.3656547670137567,Answer this yes/no question: is a wolverine the same as a badger,True,CUDA,Tesla T4
GPT-2,lime,prompt_12,15,0,13.265386819839478,1.130762351955411,Answer this yes/no question: will there be a green lantern 2 movie,True,CUDA,Tesla T4
GPT-2,lime,prompt_13,17,0,13.269115924835205,1.281170508743681,Answer this yes/no question: does the icc has jurisdiction in the united states,True,CUDA,Tesla T4
GPT-2,lime,prompt_14,22,0,13.547771215438843,1.6238833421492327,Answer this yes/no question: calcium carbide cac2 is the raw material for the production of acetylene,True,CUDA,Tesla T4
GPT-2,lime,prompt_15,17,0,12.796156406402588,1.3285239301618734,Answer this yes/no question: is there a now you see me 3 coming out,True,CUDA,Tesla T4
GPT-2,lime,prompt_16,18,0,12.741865396499634,1.4126659982568053,Answer this yes/no question: does a penalty shoot out goal count towards the golden boot,True,CUDA,Tesla T4
GPT-2,lime,prompt_17,18,0,12.976282358169556,1.3871461411802304,Answer this yes/no question: will there be a new season of cutthroat kitchen,True,CUDA,Tesla T4
GPT-2,lime,prompt_18,17,0,12.92942190170288,1.3148306342885292,Answer this yes/no question: is jack sikma in the hall of fame,True,CUDA,Tesla T4
GPT-2,lime,prompt_19,16,0,12.91459059715271,1.2389088047070986,Answer this yes/no question: can elves and humans mate lord of the rings,True,CUDA,Tesla T4
GPT-2,lime,prompt_20,17,0,13.115984678268433,1.2961283820472054,Answer this yes/no question: the boy in the plastic bubble based on true story,True,CUDA,Tesla T4
